arist_id,artist_name,track_name,track_id,popularity,explicit,release_date,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Think Mi Did Dome,6Ls9BNDh4gICGEbsgAszrE,10,False,2012-04-03,0.894,0.584,1.0,-9.831,0.105,0.0962,0.00392,0.0992,0.967,161.456,201227.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Jump Up,3fVMq2m2YKNZDLe4QuAWhV,6,False,1987-06-09,0.855,0.486,6.0,-10.166,0.117,0.00453,0.000153,0.0416,0.656,163.595,232253.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Top Celebrity Man,08yXGP3XRH9jBU7rvCwZ7g,7,False,2012-04-03,0.869,0.486,10.0,-15.064,0.426,0.106,5.69e-05,0.336,0.862,164.339,197787.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Don't Want No Kiss,6APAAscYCQV3pCvMLB1x3i,0,False,2012-04-03,0.861,0.687,6.0,-10.696,0.0739,0.163,0.0,0.0601,0.927,177.33,195173.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Cater Fi Woman,7kxHo8oWEzYJEap7ikdYYI,2,False,2012-04-03,0.851,0.712,0.0,-9.994,0.2,0.13,4.74e-05,0.0514,0.88,176.129,232080.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Jump Up,7KetqBt6RCcmN8sGTwsiJk,4,False,2012-04-03,0.856,0.381,10.0,-12.982,0.192,0.0165,0.00469,0.0411,0.603,165.629,234067.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Woman You Sweet,3KsszSEpnQmUgdB3gbgOcF,8,False,1992,0.926,0.628,2.0,-10.679,0.276,0.331,0.0,0.0546,0.964,94.73,217827.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Winey Winey,7vW5nvr1827yJZy5Z6PFHw,1,False,2012-04-03,0.855,0.62,11.0,-9.896,0.0761,0.19,0.0,0.1,0.855,92.418,223667.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Put Down The Gun,76zV2cSqz1uBUBkMzGKaLE,1,False,2012-04-03,0.928,0.497,10.0,-15.044,0.212,0.163,0.0,0.0573,0.827,94.203,220093.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Bawling For Mandella,4FjlWdiMRlu9zrw64KTc7B,1,False,2012-04-03,0.81,0.658,9.0,-13.345,0.143,0.199,4.38e-05,0.0752,0.908,170.421,225293.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Bullet Proof Body,3A1L7iYAL7BgOzyMsnw0n8,5,False,2012-04-03,0.939,0.569,10.0,-14.548,0.285,0.0641,2.01e-06,0.0413,0.716,98.351,210920.0,4.0,0.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Can't Fool The Woman Again,7FJPsO1yubmk6PhHiYZa9z,3,False,2012-04-03,0.777,0.391,10.0,-17.756,0.122,0.0692,0.0,0.116,0.807,156.419,216667.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Red Eye People,48uSD6z5eo6jgBCRz4ODkT,1,False,2012-04-03,0.734,0.574,1.0,-13.661,0.103,0.238,2.69e-05,0.0256,0.646,196.525,229627.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Big Belly Man,7MMV9t4ifnnuKrCIXNI48t,1,False,2012-04-03,0.841,0.614,7.0,-11.389,0.234,0.378,0.0,0.0337,0.834,166.895,203640.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Try Some Hustling,1BY9oxojolOVfxcmwbMf8G,0,False,2012-04-03,0.834,0.523,7.0,-11.074,0.121,0.627,8.32e-05,0.0259,0.634,170.599,202667.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Politician,7oWvP8ncw1DlKKFAJVmEC8,8,False,2006,0.824,0.769,1.0,-4.222,0.0594,0.788,0.0,0.155,0.939,166.112,210693.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,This A The Medley,1gKKBiY1pXtTq8ZWEAk3EG,4,False,2012-04-03,0.892,0.557,5.0,-14.767,0.144,0.173,0.0,0.291,0.706,89.948,225653.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Lyrics Factory,4iyNGjQAT1UfGA8HxJQ9sw,1,False,2012-04-03,0.842,0.714,2.0,-15.754,0.151,0.0155,0.00797,0.346,0.934,96.905,210867.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Horse Tonic,0z31wnOR4idm0y3BD9mzGH,11,False,2006,0.812,0.804,1.0,-5.697,0.115,0.154,0.0,0.144,0.854,156.612,190693.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,New Brand Slang,2XiNngJZmGPaa3ZOjEKLBJ,1,False,2012-04-03,0.67,0.475,7.0,-15.833,0.354,0.178,8.74e-05,0.0643,0.541,92.206,221080.0,4.0,1.0
1zYGgHaZVz4Q2NrPngXiCx,Admiral Bailey,Big Belly Man,2Y0opsIvNNkIDqY2bzACM8,9,False,2006,0.796,0.817,10.0,-5.731,0.177,0.0966,0.0,0.0531,0.716,175.106,184333.0,4.0,0.0
