Artist Name,Track Name,Popularity,Explicit,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Mode,Release Year,Duration,Clusters
Skip Marley,Slow Down - P2J Remix,12,Clean,0.701,0.747,B,0.8461280070282422,0.11,0.0322,0.182,0.589,102.0,Minor,2020,3.809516666666666,Cluster 3
Skip Marley,Slow Down (Remix) [feat. H.E.R. & Wale],47,Clean,0.705,0.697,B,0.8347587917624868,0.0937,0.0545,0.252,0.751,100.0,Minor,2020,3.701133333333333,Cluster 3
Skip Marley,Slow Down - Remix,11,Clean,0.707,0.697,B,0.8347846308880907,0.0917,0.0553,0.252,0.747,100.0,Minor,2020,3.701133333333333,Cluster 3
Skip Marley,Faith,48,Clean,0.6,0.64,D,0.8673677682747216,0.136,0.068,0.0667,0.481,102.0,Major,2020,2.8936333333333333,Cluster 1
Skip Marley,Slow Down (feat. H.E.R.) - P2J Remix,38,Clean,0.75,0.765,B,0.8396165473760369,0.0669,0.00686,0.131,0.507,100.0,Minor,2020,3.401466666666667,Cluster 3
Skip Marley,Slow Down - Acoustic,42,Clean,0.772,0.466,B,0.707811167670086,0.114,0.496,0.0836,0.57,93.0,Minor,2020,4.198666666666667,Cluster 4
Skip Marley,That's Not True,1,Clean,0.71,0.728,F#/Gb,0.8734916410428671,0.0873,0.153,0.145,0.859,134.0,Minor,2022,3.48155,Cluster 3
Skip Marley,Higher Place,53,Clean,0.592,0.53,C,0.7989974419265652,0.126,0.719,0.163,0.325,125.0,Major,2020,3.3846333333333334,Cluster 4
Skip Marley,Change,39,Clean,0.433,0.707,A,0.8548099532311827,0.239,0.0127,0.116,0.483,171.0,Minor,2022,2.8057333333333334,Cluster 1
Skip Marley,Vibe (feat. Popcaan),56,Clean,0.776,0.882,C#/Db,0.8927934678690473,0.325,0.436,0.11,0.46,113.0,Minor,2021,3.2638333333333334,Cluster 1
Skip Marley,Slow Down (with H.E.R.),18,Clean,0.662,0.765,B,0.8608821477481202,0.111,0.0453,0.0946,0.742,100.0,Minor,2021,3.2401,Cluster 3
Skip Marley,"That's Not True (feat. Damian ""Jr. Gong"" Marley)",24,Clean,0.709,0.728,F#/Gb,0.8734399627916591,0.0918,0.152,0.145,0.86,134.0,Minor,2021,3.48155,Cluster 3
Skip Marley,Make Me Feel (feat. Ari Lennox) - IzyBeats Dub Mix,36,Clean,0.713,0.799,C#/Db,0.8784785922844371,0.112,0.0429,0.286,0.653,92.0,Minor,2021,3.6348166666666666,Cluster 1
Skip Marley,Higher Place (feat. Bob Marley),21,Clean,0.508,0.532,C,0.7988940854241493,0.202,0.711,0.162,0.289,125.0,Major,2021,3.3846333333333334,Cluster 4
Skip Marley,"Slow Down (feat. H.E.R., DaVido & Oxlade) - P2J Remix",37,Clean,0.701,0.749,B,0.8461021679026381,0.107,0.0316,0.182,0.593,102.0,Minor,2021,3.809516666666666,Cluster 3
Sly & Robbie,High Fashion - Live,1,Clean,0.398,0.718,D,0.797162864008682,0.032,0.0678,0.316,0.429,83.0,Major,2022,10.229116666666666,Cluster 1
Sly & Robbie,Rocking Time Version,0,Clean,0.751,0.418,C#/Db,0.7317381979793804,0.0844,0.00247,0.0661,0.435,81.0,Major,2009,3.55955,Cluster 2
Sly & Robbie,No Touch The Version,2,Clean,0.735,0.475,C#/Db,0.7683780780858376,0.0577,0.00478,0.0864,0.331,89.0,Major,2009,2.732,Cluster 2
Sly & Robbie,Stylee Version,0,Clean,0.803,0.217,C#/Db,0.7376811968682979,0.096,0.0688,0.144,0.336,77.0,Major,2009,2.96755,Cluster 2
Sly & Robbie,The Final Mission,0,Clean,0.693,0.813,F,0.7482752383659337,0.0345,0.00148,0.152,0.822,146.0,Minor,2009,3.1237833333333334,Cluster 3
Sly & Robbie,Can't Dweet,1,Clean,0.7,0.843,F#/Gb,0.7588951189891734,0.0571,0.0205,0.103,0.442,144.0,Minor,2009,3.7082166666666665,Cluster 3
Sly & Robbie,Answer Version,1,Clean,0.578,0.367,D,0.6660293015684349,0.0624,0.000668,0.147,0.628,169.0,Major,2009,3.22045,Cluster 2
Sly & Robbie,Mission Impossible,1,Clean,0.716,0.671,C,0.7352781581871269,0.0801,4.94e-05,0.363,0.416,164.0,Minor,2009,2.5277833333333333,Cluster 1
Sly & Robbie,Fire in the Oven,8,Clean,0.724,0.941,B,0.8729231802795794,0.0469,0.00251,0.219,0.688,93.0,Major,2012,4.43445,Cluster 3
Sly & Robbie,Swing Easy - Live,2,Clean,0.554,0.795,D,0.8708818893568642,0.0314,0.228,0.158,0.59,86.0,Minor,2022,17.546566666666667,Cluster 1
Sly & Robbie,Rock Steady - Live,1,Clean,0.677,0.819,A#/Bb,0.8227952766078396,0.0688,0.384,0.178,0.706,81.0,Minor,2022,8.83535,Cluster 3
Sly & Robbie,Lecturer Version,0,Clean,0.782,0.494,D,0.7293609984238133,0.125,0.00153,0.097,0.517,166.0,Major,2009,4.125783333333334,Cluster 2
Sly & Robbie,Argentina Dub - Dennis Bovell Dub,7,Clean,0.561,0.735,C,0.7972403813854939,0.0832,0.000988,0.205,0.712,90.0,Major,2021,3.4890166666666667,Cluster 1
Sly & Robbie,Argentina Dub (Dennis Bovell Dub),16,Clean,0.561,0.735,C,0.7972403813854939,0.0832,0.000988,0.205,0.712,90.0,Major,2022,3.4890166666666667,Cluster 1
Sly & Robbie,Desperate Lover,2,Clean,0.811,0.519,A,0.6190537712203819,0.0376,0.0556,0.0657,0.74,138.0,Minor,1987,3.5087333333333333,Cluster 2
Sly & Robbie,Argentina,9,Clean,0.686,0.638,C,0.8056122580811865,0.0446,0.063,0.0905,0.75,90.0,Major,2019,3.435416666666667,Cluster 3
Sly & Robbie,"Full Moon, Plant a Tree",20,Clean,0.716,0.55,A#/Bb,0.7640112658587633,0.231,0.172,0.108,0.774,83.0,Minor,2019,4.483733333333333,Cluster 3
Sly & Robbie,Mind Your Own,7,Clean,0.746,0.605,A#/Bb,0.7756905506317666,0.166,0.139,0.273,0.89,138.0,Major,2019,3.874666666666666,Cluster 3
Sly & Robbie,This Morning,12,Clean,0.682,0.616,E,0.8028474716415597,0.0944,0.118,0.0762,0.899,152.0,Minor,2019,4.26595,Cluster 3
Sly & Robbie,Make a Change,11,Clean,0.46,0.671,E,0.7837523578202114,0.064,0.0204,0.117,0.561,94.0,Minor,2019,4.33245,Cluster 1
Sly & Robbie,Rascal Dub vs Aux Armes (Slight Return),2,Clean,0.557,0.276,F,0.6614816154621328,0.253,0.0436,0.0995,0.271,84.0,Major,2019,8.569666666666667,Cluster 2
Sly & Robbie,Marie-Luce Dub,1,Clean,0.717,0.466,C,0.7281465595204257,0.072,0.00702,0.145,0.365,135.0,Major,2019,7.47475,Cluster 2
Sly & Robbie,Lola Dub,1,Clean,0.685,0.481,C#/Db,0.6208108317614531,0.0513,0.00136,0.102,0.426,129.0,Major,2019,7.311933333333333,Cluster 2
Sly & Robbie,Rent Dub,1,Clean,0.754,0.362,A#/Bb,0.6382522415441461,0.172,0.00525,0.123,0.399,84.0,Minor,2019,7.06745,Cluster 2
Sly & Robbie,Javanese Dub,2,Clean,0.636,0.332,C#/Db,0.5535515878142684,0.139,0.00378,0.0936,0.509,135.0,Major,2019,8.668316666666666,Cluster 2
Sly & Robbie,Dub Shall Escape,2,Clean,0.795,0.331,A#/Bb,0.5932663238676004,0.121,0.000131,0.119,0.658,81.0,Minor,2018,4.017783333333333,Cluster 2
Sly & Robbie,Dub Massa,1,Clean,0.832,0.237,G#/Ab,0.5879951422443864,0.0827,0.0355,0.131,0.165,146.0,Major,2018,4.044216666666666,Cluster 2
Sly & Robbie,Mad Mad Bad,2,Clean,0.773,0.574,G,0.8236996460039792,0.0574,0.256,0.1,0.691,74.0,Minor,2018,3.83645,Cluster 3
Sly & Robbie,Nothing but the Truth,2,Clean,0.789,0.775,C#/Db,0.8597193870959406,0.229,0.0192,0.346,0.858,79.0,Minor,2018,4.385083333333333,Cluster 3
Sly & Robbie,Dread Karma,2,Clean,0.734,0.71,C#/Db,0.8106767266995685,0.0646,0.000937,0.178,0.861,157.0,Major,2018,4.150633333333333,Cluster 3
Sly & Robbie,Smelly,1,Clean,0.688,0.717,A#/Bb,0.8539831012118551,0.0549,0.022,0.0848,0.665,75.0,Minor,2018,3.736933333333333,Cluster 3
Sly & Robbie,Bouncy Bouncy,2,Clean,0.729,0.742,F#/Gb,0.8007028242164285,0.166,0.0142,0.107,0.763,80.0,Minor,2018,3.8258,Cluster 3
Sly & Robbie,Militant,4,Clean,0.806,0.864,A#/Bb,0.8495904498591768,0.0704,0.225,0.0951,0.948,162.0,Minor,2018,4.29005,Cluster 3
Sly & Robbie,Dub Zion's Gates,0,Clean,0.793,0.266,D,0.6167024107904189,0.147,0.00114,0.0638,0.294,83.0,Major,2018,4.39645,Cluster 2
Sly & Robbie,Look You in the Dub,0,Clean,0.735,0.399,A#/Bb,0.6159789152735071,0.117,0.0007,0.276,0.578,133.0,Minor,2018,3.222,Cluster 2
Sly & Robbie,Root of Dub,1,Clean,0.808,0.189,C#/Db,0.655771168703651,0.159,0.0078,0.0692,0.366,147.0,Major,2018,3.760666666666667,Cluster 2
Sly & Robbie,Dub Way Bad,0,Clean,0.823,0.361,G,0.6894912276168574,0.063,0.000174,0.158,0.491,143.0,Major,2018,2.111333333333333,Cluster 2
Sly & Robbie,Tribulate Dub,0,Clean,0.865,0.271,D,0.7640112658587633,0.106,0.0002,0.0764,0.515,135.0,Major,2018,3.5733333333333333,Cluster 2
Sly & Robbie,Take It over Dub,0,Clean,0.784,0.519,A#/Bb,0.774527789979587,0.0658,8.17e-05,0.328,0.753,139.0,Minor,2018,3.07155,Cluster 3
Sly & Robbie,Dub Legal,1,Clean,0.799,0.386,D,0.6592077724089817,0.0866,0.000975,0.136,0.584,136.0,Major,2018,4.0022166666666665,Cluster 2
Sly & Robbie,Dub Child,0,Clean,0.881,0.332,F#/Gb,0.6760807214283868,0.0624,0.0259,0.147,0.369,124.0,Minor,2018,3.946,Cluster 2
